Trait,Model,SNPs,R2,RMSE,PearsonR,Source
sterilspike,CNN,100,0.1965,0.3649,0.4560,res/cnn/sterilspike/results.txt
sterilspike,CNN,7000,0.2123,0.3613,0.5344,res/cnn/sterilspike/results.txt
sterilspike,CNN,1000,0.2611,0.3499,0.5120,res/cnn/sterilspike/results.txt
sterilspike,CNN,3000,0.1899,0.3664,0.5349,res/cnn/sterilspike/results.txt
sterilspike,CNN,5000,0.3108,0.3379,0.5780,res/cnn/sterilspike/results.txt
FHB,CNN,100,0.0617,0.0236,0.2899,res/cnn/FHB/results.txt
FHB,CNN,7000,0.0488,0.0237,0.3803,res/cnn/FHB/results.txt
FHB,CNN,1000,0.1135,0.0229,0.3895,res/cnn/FHB/results.txt
FHB,CNN,3000,0.0269,0.0240,0.3352,res/cnn/FHB/results.txt
FHB,CNN,5000,-0.0788,0.0253,0.2607,res/cnn/FHB/results.txt
spikelet,CNN,100,0.1491,0.9985,0.4016,res/cnn/spikelet/results.txt
spikelet,CNN,7000,0.2715,0.9239,0.5491,res/cnn/spikelet/results.txt
spikelet,CNN,1000,0.2386,0.9445,0.4984,res/cnn/spikelet/results.txt
spikelet,CNN,3000,0.2761,0.9210,0.5306,res/cnn/spikelet/results.txt
spikelet,CNN,5000,0.2263,0.9521,0.5032,res/cnn/spikelet/results.txt
height,CNN,100,0.2085,16.1028,0.4994,res/cnn/height/results.txt
height,CNN,7000,0.4857,12.9803,0.7351,res/cnn/height/results.txt
height,CNN,1000,0.5444,12.2164,0.7462,res/cnn/height/results.txt
height,CNN,3000,0.5142,12.6156,0.7403,res/cnn/height/results.txt
height,CNN,5000,0.5528,12.1036,0.7485,res/cnn/height/results.txt
FD,CNN,100,0.2656,2.2534,0.5594,res/cnn/FD/results.txt
FD,CNN,7000,0.3503,2.1196,0.5948,res/cnn/FD/results.txt
FD,CNN,1000,0.2462,2.2831,0.5091,res/cnn/FD/results.txt
FD,CNN,3000,0.2297,2.3079,0.5017,res/cnn/FD/results.txt
FD,CNN,5000,0.2915,2.2134,0.5422,res/cnn/FD/results.txt
headingdate,CNN,100,0.3065,2.3512,0.5678,res/cnn/headingdate/results.txt
headingdate,CNN,7000,0.2971,2.3670,0.5478,res/cnn/headingdate/results.txt
headingdate,CNN,1000,0.2814,2.3933,0.5432,res/cnn/headingdate/results.txt
headingdate,CNN,3000,0.2562,2.4348,0.5228,res/cnn/headingdate/results.txt
headingdate,CNN,5000,0.2876,2.3829,0.5517,res/cnn/headingdate/results.txt
spikelength,CNN,100,0.0655,0.9301,0.3403,res/cnn/spikelength/results.txt
spikelength,CNN,7000,0.2724,0.8207,0.5406,res/cnn/spikelength/results.txt
spikelength,CNN,1000,0.1008,0.9124,0.4210,res/cnn/spikelength/results.txt
spikelength,CNN,3000,0.1790,0.8719,0.4915,res/cnn/spikelength/results.txt
spikelength,CNN,5000,0.2418,0.8378,0.5441,res/cnn/spikelength/results.txt
tkw,CNN,100,0.1995,3.9150,0.4600,res/cnn/tkw/results.txt
tkw,CNN,7000,0.2221,3.8595,0.4915,res/cnn/tkw/results.txt
tkw,CNN,1000,0.2213,3.8615,0.4955,res/cnn/tkw/results.txt
tkw,CNN,3000,0.1122,4.1231,0.4561,res/cnn/tkw/results.txt
tkw,CNN,5000,0.0792,4.1991,0.5468,res/cnn/tkw/results.txt
kernelspikelet,CNN,100,0.1068,0.2431,0.3474,res/cnn/kernelspikelet/results.txt
kernelspikelet,CNN,7000,0.3533,0.2069,0.6002,res/cnn/kernelspikelet/results.txt
kernelspikelet,CNN,1000,0.1636,0.2352,0.4755,res/cnn/kernelspikelet/results.txt
kernelspikelet,CNN,3000,0.2678,0.2201,0.5420,res/cnn/kernelspikelet/results.txt
kernelspikelet,CNN,5000,0.2769,0.2187,0.5986,res/cnn/kernelspikelet/results.txt
Mature,CNN,100,0.2139,1.3723,0.4797,res/cnn/Mature/results.txt
Mature,CNN,7000,0.2213,1.3658,0.4795,res/cnn/Mature/results.txt
Mature,CNN,1000,0.3026,1.2926,0.5506,res/cnn/Mature/results.txt
Mature,CNN,3000,0.2592,1.3322,0.5108,res/cnn/Mature/results.txt
Mature,CNN,5000,0.1954,1.3884,0.4559,res/cnn/Mature/results.txt
gns,CNN,100,0.1922,4.3120,0.4416,res/cnn/gns/results.txt
gns,CNN,7000,0.2258,4.2215,0.5687,res/cnn/gns/results.txt
gns,CNN,1000,0.1712,4.3678,0.5181,res/cnn/gns/results.txt
gns,CNN,3000,0.2620,4.1217,0.5660,res/cnn/gns/results.txt
gns,CNN,5000,0.2335,4.2004,0.5378,res/cnn/gns/results.txt
cold,CNN,100,0.0805,0.1280,0.3437,res/cnn/cold/results.txt
cold,CNN,7000,0.1720,0.1215,0.4949,res/cnn/cold/results.txt
cold,CNN,1000,0.2094,0.1187,0.4741,res/cnn/cold/results.txt
cold,CNN,3000,-0.0098,0.1342,0.3589,res/cnn/cold/results.txt
cold,CNN,5000,0.0788,0.1282,0.4064,res/cnn/cold/results.txt
tiller,CNN,100,0.1491,0.2825,0.3980,res/cnn/tiller/results.txt
tiller,CNN,7000,-0.0940,0.3203,0.3128,res/cnn/tiller/results.txt
tiller,CNN,1000,-0.0523,0.3141,0.4097,res/cnn/tiller/results.txt
tiller,CNN,3000,-0.1779,0.3323,0.2251,res/cnn/tiller/results.txt
tiller,CNN,5000,-0.1799,0.3326,0.3679,res/cnn/tiller/results.txt
yield,CNN,100,0.2255,45.4364,0.4925,res/cnn/yield/results.txt
yield,CNN,7000,0.2274,45.3810,0.5651,res/cnn/yield/results.txt
yield,CNN,1000,0.3281,42.3184,0.6128,res/cnn/yield/results.txt
yield,CNN,3000,0.2691,44.1397,0.5581,res/cnn/yield/results.txt
yield,CNN,5000,0.1765,46.8500,0.4615,res/cnn/yield/results.txt
lodging,CNN,100,0.3985,0.4452,0.6483,res/cnn/lodging/results.txt
lodging,CNN,7000,0.5497,0.3852,0.7548,res/cnn/lodging/results.txt
lodging,CNN,1000,0.5927,0.3663,0.7733,res/cnn/lodging/results.txt
lodging,CNN,3000,0.5576,0.3818,0.7565,res/cnn/lodging/results.txt
lodging,CNN,5000,0.5012,0.4054,0.7373,res/cnn/lodging/results.txt
sterilspike,RandomForest,100,0.1650,0.3720,0.4462,res/base/sterilspike/results.txt
sterilspike,XGBoost,100,0.1554,0.3741,0.4895,res/base/sterilspike/results.txt
sterilspike,LightGBM,100,0.1489,0.3755,0.4644,res/base/sterilspike/results.txt
sterilspike,Lasso,100,0.1547,0.3743,0.4436,res/base/sterilspike/results.txt
sterilspike,RandomForest,7000,0.2788,0.3457,0.5689,res/base/sterilspike/results.txt
sterilspike,XGBoost,7000,0.3398,0.3307,0.6097,res/base/sterilspike/results.txt
sterilspike,LightGBM,7000,0.3362,0.3317,0.6068,res/base/sterilspike/results.txt
sterilspike,Lasso,7000,0.2540,0.3516,0.5371,res/base/sterilspike/results.txt
sterilspike,RandomForest,1000,0.2634,0.3494,0.5440,res/base/sterilspike/results.txt
sterilspike,XGBoost,1000,0.3219,0.3352,0.5905,res/base/sterilspike/results.txt
sterilspike,LightGBM,1000,0.3121,0.3376,0.5765,res/base/sterilspike/results.txt
sterilspike,Lasso,1000,0.2571,0.3509,0.5496,res/base/sterilspike/results.txt
sterilspike,RandomForest,3000,0.2361,0.3558,0.5158,res/base/sterilspike/results.txt
sterilspike,XGBoost,3000,0.3284,0.3336,0.5955,res/base/sterilspike/results.txt
sterilspike,LightGBM,3000,0.3169,0.3364,0.5820,res/base/sterilspike/results.txt
sterilspike,Lasso,3000,0.2554,0.3513,0.5392,res/base/sterilspike/results.txt
sterilspike,RandomForest,5000,0.2680,0.3483,0.5447,res/base/sterilspike/results.txt
sterilspike,XGBoost,5000,0.3249,0.3345,0.5968,res/base/sterilspike/results.txt
sterilspike,LightGBM,5000,0.2757,0.3464,0.5477,res/base/sterilspike/results.txt
sterilspike,Lasso,5000,0.2762,0.3463,0.5599,res/base/sterilspike/results.txt
FHB,RandomForest,100,0.1583,0.0223,0.4050,res/base/FHB/results.txt
FHB,XGBoost,100,-0.0584,0.0250,0.2693,res/base/FHB/results.txt
FHB,LightGBM,100,0.0508,0.0237,0.3508,res/base/FHB/results.txt
FHB,Lasso,100,0.1451,0.0225,0.3823,res/base/FHB/results.txt
FHB,RandomForest,7000,0.1600,0.0223,0.4161,res/base/FHB/results.txt
FHB,XGBoost,7000,0.1286,0.0227,0.3589,res/base/FHB/results.txt
FHB,LightGBM,7000,0.0499,0.0237,0.3655,res/base/FHB/results.txt
FHB,Lasso,7000,0.1683,0.0222,0.4141,res/base/FHB/results.txt
FHB,RandomForest,1000,0.1298,0.0227,0.4073,res/base/FHB/results.txt
FHB,XGBoost,1000,0.1371,0.0226,0.3733,res/base/FHB/results.txt
FHB,LightGBM,1000,0.1447,0.0225,0.3843,res/base/FHB/results.txt
FHB,Lasso,1000,0.1562,0.0223,0.3954,res/base/FHB/results.txt
FHB,RandomForest,3000,0.1532,0.0224,0.4099,res/base/FHB/results.txt
FHB,XGBoost,3000,0.1319,0.0227,0.3664,res/base/FHB/results.txt
FHB,LightGBM,3000,0.0553,0.0236,0.3689,res/base/FHB/results.txt
FHB,Lasso,3000,0.1550,0.0224,0.3951,res/base/FHB/results.txt
FHB,RandomForest,5000,0.1567,0.0223,0.4154,res/base/FHB/results.txt
FHB,XGBoost,5000,0.1360,0.0226,0.3709,res/base/FHB/results.txt
FHB,LightGBM,5000,0.0311,0.0239,0.3829,res/base/FHB/results.txt
FHB,Lasso,5000,0.1848,0.0220,0.4304,res/base/FHB/results.txt
spikelet,RandomForest,100,0.1635,0.9900,0.4121,res/base/spikelet/results.txt
spikelet,XGBoost,100,0.1472,0.9996,0.4505,res/base/spikelet/results.txt
spikelet,LightGBM,100,0.1610,0.9915,0.4441,res/base/spikelet/results.txt
spikelet,Lasso,100,0.2057,0.9647,0.4613,res/base/spikelet/results.txt
spikelet,RandomForest,7000,0.2595,0.9315,0.5149,res/base/spikelet/results.txt
spikelet,XGBoost,7000,0.3464,0.8751,0.5915,res/base/spikelet/results.txt
spikelet,LightGBM,7000,0.3062,0.9017,0.5565,res/base/spikelet/results.txt
spikelet,Lasso,7000,0.3504,0.8724,0.5991,res/base/spikelet/results.txt
spikelet,RandomForest,1000,0.2227,0.9543,0.4737,res/base/spikelet/results.txt
spikelet,XGBoost,1000,0.2617,0.9301,0.5254,res/base/spikelet/results.txt
spikelet,LightGBM,1000,0.2538,0.9350,0.5213,res/base/spikelet/results.txt
spikelet,Lasso,1000,0.3323,0.8845,0.5768,res/base/spikelet/results.txt
spikelet,RandomForest,3000,0.2461,0.9399,0.4985,res/base/spikelet/results.txt
spikelet,XGBoost,3000,0.3187,0.8935,0.5686,res/base/spikelet/results.txt
spikelet,LightGBM,3000,0.2809,0.9179,0.5418,res/base/spikelet/results.txt
spikelet,Lasso,3000,0.3426,0.8776,0.5896,res/base/spikelet/results.txt
spikelet,RandomForest,5000,0.2568,0.9332,0.5129,res/base/spikelet/results.txt
spikelet,XGBoost,5000,0.3226,0.8909,0.5701,res/base/spikelet/results.txt
spikelet,LightGBM,5000,0.3172,0.8944,0.5640,res/base/spikelet/results.txt
spikelet,Lasso,5000,0.3413,0.8785,0.5945,res/base/spikelet/results.txt
height,RandomForest,100,0.2896,15.2549,0.5509,res/base/height/results.txt
height,XGBoost,100,0.2878,15.2746,0.5533,res/base/height/results.txt
height,LightGBM,100,0.2548,15.6243,0.5184,res/base/height/results.txt
height,Lasso,100,0.2487,15.6876,0.5138,res/base/height/results.txt
height,RandomForest,7000,0.5604,11.9997,0.7535,res/base/height/results.txt
height,XGBoost,7000,0.5278,12.4375,0.7942,res/base/height/results.txt
height,LightGBM,7000,0.5237,12.4912,0.7740,res/base/height/results.txt
height,Lasso,7000,0.5786,11.7486,0.7761,res/base/height/results.txt
height,RandomForest,1000,0.5794,11.7387,0.7641,res/base/height/results.txt
height,XGBoost,1000,0.4858,12.9787,0.7565,res/base/height/results.txt
height,LightGBM,1000,0.4752,13.1122,0.7288,res/base/height/results.txt
height,Lasso,1000,0.5444,12.2167,0.7489,res/base/height/results.txt
height,RandomForest,3000,0.5723,11.8365,0.7612,res/base/height/results.txt
height,XGBoost,3000,0.4859,12.9777,0.7656,res/base/height/results.txt
height,LightGBM,3000,0.4868,12.9662,0.7497,res/base/height/results.txt
height,Lasso,3000,0.5433,12.2311,0.7509,res/base/height/results.txt
height,RandomForest,5000,0.5624,11.9725,0.7555,res/base/height/results.txt
height,XGBoost,5000,0.5056,12.7268,0.7807,res/base/height/results.txt
height,LightGBM,5000,0.5010,12.7859,0.7575,res/base/height/results.txt
height,Lasso,5000,0.5625,11.9717,0.7648,res/base/height/results.txt
FD,RandomForest,100,0.2581,2.2650,0.5260,res/base/FD/results.txt
FD,XGBoost,100,0.2889,2.2175,0.5444,res/base/FD/results.txt
FD,LightGBM,100,0.2215,2.3202,0.4785,res/base/FD/results.txt
FD,Lasso,100,0.3524,2.1161,0.6014,res/base/FD/results.txt
FD,RandomForest,7000,0.2649,2.2546,0.5331,res/base/FD/results.txt
FD,XGBoost,7000,0.4319,1.9820,0.6703,res/base/FD/results.txt
FD,LightGBM,7000,0.4063,2.0262,0.6481,res/base/FD/results.txt
FD,Lasso,7000,0.3398,2.1366,0.6100,res/base/FD/results.txt
FD,RandomForest,1000,0.2347,2.3005,0.4991,res/base/FD/results.txt
FD,XGBoost,1000,0.3684,2.0899,0.6103,res/base/FD/results.txt
FD,LightGBM,1000,0.3435,2.1306,0.5899,res/base/FD/results.txt
FD,Lasso,1000,0.2810,2.2297,0.5616,res/base/FD/results.txt
FD,RandomForest,3000,0.2646,2.2551,0.5246,res/base/FD/results.txt
FD,XGBoost,3000,0.3106,2.1834,0.5596,res/base/FD/results.txt
FD,LightGBM,3000,0.3159,2.1749,0.5649,res/base/FD/results.txt
FD,Lasso,3000,0.2896,2.2164,0.5656,res/base/FD/results.txt
FD,RandomForest,5000,0.2686,2.2489,0.5337,res/base/FD/results.txt
FD,XGBoost,5000,0.4191,2.0042,0.6519,res/base/FD/results.txt
FD,LightGBM,5000,0.3949,2.0455,0.6339,res/base/FD/results.txt
FD,Lasso,5000,0.3371,2.1410,0.6085,res/base/FD/results.txt
headingdate,RandomForest,100,0.2870,2.3839,0.5395,res/base/headingdate/results.txt
headingdate,XGBoost,100,0.2953,2.3699,0.5472,res/base/headingdate/results.txt
headingdate,LightGBM,100,0.2582,2.4316,0.5133,res/base/headingdate/results.txt
headingdate,Lasso,100,0.3099,2.3454,0.5575,res/base/headingdate/results.txt
headingdate,RandomForest,7000,0.2553,2.4363,0.5131,res/base/headingdate/results.txt
headingdate,XGBoost,7000,0.3465,2.2823,0.5922,res/base/headingdate/results.txt
headingdate,LightGBM,7000,0.3749,2.2321,0.6186,res/base/headingdate/results.txt
headingdate,Lasso,7000,0.3056,2.3525,0.5645,res/base/headingdate/results.txt
headingdate,RandomForest,1000,0.2496,2.4457,0.5101,res/base/headingdate/results.txt
headingdate,XGBoost,1000,0.3680,2.2445,0.6083,res/base/headingdate/results.txt
headingdate,LightGBM,1000,0.3255,2.3186,0.5722,res/base/headingdate/results.txt
headingdate,Lasso,1000,0.2928,2.3742,0.5611,res/base/headingdate/results.txt
headingdate,RandomForest,3000,0.2598,2.4290,0.5182,res/base/headingdate/results.txt
headingdate,XGBoost,3000,0.3257,2.3183,0.5750,res/base/headingdate/results.txt
headingdate,LightGBM,3000,0.3266,2.3167,0.5743,res/base/headingdate/results.txt
